x-axis,SDA1,SCL1
-134.73496E-06,+3.92076014111E+00,+3.95072346926E+00
-134.68996E-06,+3.90289944908E+00,+3.98160443601E+00
-134.64496E-06,+3.87954615294E+00,+3.99381184081E+00
-134.59996E-06,+3.96197608113E+00,+3.95072346926E+00
-134.55496E-06,+3.96197608113E+00,+3.95072346926E+00
-134.50996E-06,+3.96197608113E+00,+3.95072346926E+00
-134.46496E-06,+3.96197608113E+00,+3.95072346926E+00
-134.41996E-06,+3.96197608113E+00,+3.91983944166E+00
-134.37496E-06,+3.96197608113E+00,+3.90763815854E+00
-134.32996E-06,+3.96197608113E+00,+3.95072346926E+00
-134.28496E-06,+3.96197608113E+00,+3.95072346926E+00
-134.23996E-06,+3.96197608113E+00,+3.95072346926E+00
-134.19496E-06,+3.96197608113E+00,+3.91983689096E+00
-134.14996E-06,+3.96197608113E+00,+3.90764070924E+00
-134.10496E-06,+3.93243142162E+00,+3.91983587068E+00
-134.05996E-06,+3.92076746052E+00,+3.90764172953E+00
-134.01496E-06,+3.99152171657E+00,+3.95072346926E+00
-133.96996E-06,+3.97363760243E+00,+3.95072346926E+00
-133.92496E-06,+3.92076892440E+00,+3.95072346926E+00
-133.87996E-06,+3.96197608113E+00,+3.98161361854E+00
-133.83496E-06,+3.96197608113E+00,+4.02469331771E+00
-133.78996E-06,+3.96197608113E+00,+3.99380214815E+00
-133.74496E-06,+3.93242751794E+00,+3.95072346926E+00
-133.69996E-06,+3.92077136420E+00,+3.95072346926E+00
-133.65496E-06,+3.96197608113E+00,+3.95072346926E+00
-133.60996E-06,+3.96197608113E+00,+3.95072346926E+00
-133.56496E-06,+3.99152659617E+00,+3.95072346926E+00
-133.51996E-06,+4.00317884622E+00,+3.95072346926E+00
-133.47495E-06,+3.96197608113E+00,+3.95072346926E+00
-133.42995E-06,+3.96197608113E+00,+3.95072346926E+00
-133.38495E-06,+3.96197608113E+00,+3.95072346926E+00
-133.33995E-06,+3.96197608113E+00,+3.95072346926E+00
-133.29495E-06,+3.99152952393E+00,+3.91982668815E+00
-133.24995E-06,+4.00317591846E+00,+3.90765091205E+00
-133.20495E-06,+3.93242166241E+00,+3.95072346926E+00
-133.15995E-06,+3.92077721973E+00,+3.95072346926E+00
-133.11495E-06,+3.99153147577E+00,+3.95072346926E+00
-133.06995E-06,+3.97361808402E+00,+3.95072346926E+00
-133.02495E-06,+3.92077868361E+00,+3.95072346926E+00
-132.97995E-06,+3.96197608113E+00,+3.91982311717E+00
-132.93495E-06,+3.96197608113E+00,+3.93855534527E+00
-132.88995E-06,+3.96197608113E+00,+3.96289057297E+00
-132.84495E-06,+3.96197608113E+00,+3.93855738583E+00
-132.79995E-06,+3.93241727077E+00,+3.99379092506E+00
-132.75495E-06,+3.95034090970E+00,+3.95072346926E+00
-132.70995E-06,+3.97361027665E+00,+3.91982005632E+00
-132.66495E-06,+3.92078258729E+00,+3.87675362080E+00
-132.61995E-06,+3.96197608113E+00,+3.90765805402E+00
-132.57495E-06,+3.96197608113E+00,+3.95072346926E+00
-132.52995E-06,+3.99153781926E+00,+3.98162892275E+00
-132.48495E-06,+4.03272984922E+00,+3.99378735407E+00
-132.43995E-06,+4.03272984922E+00,+3.95072346926E+00
-132.39495E-06,+4.00316664721E+00,+3.91981648534E+00
-132.34995E-06,+3.96197608113E+00,+3.93856860892E+00
-132.30495E-06,+3.93241190320E+00,+3.99378531351E+00
-132.25995E-06,+3.92078697894E+00,+3.95072346926E+00
-132.21495E-06,+3.96197608113E+00,+3.95072346926E+00
-132.16995E-06,+3.96197608113E+00,+3.98163300388E+00
-132.12495E-06,+3.96197608113E+00,+3.99378327295E+00
-132.07995E-06,+3.96197608113E+00,+3.95072346926E+00
-132.03495E-06,+3.96197608113E+00,+3.95072346926E+00
-131.98994E-06,+3.96197608113E+00,+3.95072346926E+00
-131.94494E-06,+3.93240799952E+00,+3.95072346926E+00
-131.89994E-06,+3.92079088262E+00,+3.91981087380E+00
-131.85494E-06,+3.96197608113E+00,+3.90766672641E+00
-131.80994E-06,+3.93240653564E+00,+3.98163708500E+00
-131.76494E-06,+3.92079234650E+00,+4.02469331771E+00
-131.71994E-06,+3.96197608113E+00,+3.96286404566E+00
-131.67494E-06,+3.90283406239E+00,+3.90766876697E+00
-131.62994E-06,+3.87961153963E+00,+3.95072346926E+00
-131.58494E-06,+3.96197608113E+00,+3.95072346926E+00
-131.53994E-06,+3.96197608113E+00,+3.95072346926E+00
-131.49494E-06,+3.96197608113E+00,+3.95072346926E+00
-131.44994E-06,+3.96197608113E+00,+3.98164116612E+00
-131.40494E-06,+3.96197608113E+00,+3.99377511071E+00
-131.35994E-06,+3.96197608113E+00,+3.95072346926E+00
-131.31494E-06,+3.99155099419E+00,+3.91980424197E+00
-131.26994E-06,+4.03272984922E+00,+3.90767335823E+00
-131.22494E-06,+4.00315396024E+00,+3.91980322169E+00
-131.17994E-06,+3.96197608113E+00,+3.90767437851E+00
-131.13494E-06,+3.96197608113E+00,+3.95072346926E+00
-131.08994E-06,+3.99155343399E+00,+3.95072346926E+00
-131.04494E-06,+3.97357416758E+00,+3.91980118113E+00
-130.99994E-06,+3.92080064183E+00,+3.87675362080E+00
-130.95494E-06,+3.96197608113E+00,+3.90767692921E+00
-130.90994E-06,+3.96197608113E+00,+3.95072346926E+00
-130.86494E-06,+3.96197608113E+00,+3.95072346926E+00
-130.81994E-06,+3.96197608113E+00,+3.95072346926E+00
-130.77494E-06,+3.93239531255E+00,+3.95072346926E+00
-130.72994E-06,+3.92080356959E+00,+3.91979761015E+00
-130.68494E-06,+3.96197608113E+00,+3.90767999006E+00
-130.63994E-06,+3.96197608113E+00,+3.95072346926E+00
-130.59494E-06,+3.96197608113E+00,+3.95072346926E+00
-130.54993E-06,+3.96197608113E+00,+3.95072346926E+00
-130.50493E-06,+3.96197608113E+00,+3.95072346926E+00
-130.45993E-06,+3.93239189683E+00,+3.91979454930E+00
-130.41493E-06,+3.92080698531E+00,+3.90768305090E+00
-130.36993E-06,+3.96197608113E+00,+3.95072346926E+00
-130.32493E-06,+3.96197608113E+00,+3.95072346926E+00
-130.27993E-06,+3.99156221728E+00,+3.95072346926E+00
-130.23493E-06,+3.97355660101E+00,+3.95072346926E+00
-130.18993E-06,+3.92080942511E+00,+3.91979148846E+00
-130.14493E-06,+3.93238848111E+00,+3.90768611174E+00
-130.09993E-06,+3.92081040103E+00,+3.95072346926E+00
-130.05493E-06,+3.96197608113E+00,+3.95072346926E+00
-130.00993E-06,+3.96197608113E+00,+3.95072346926E+00
-129.96493E-06,+3.93238652926E+00,+3.95072346926E+00
-129.91993E-06,+3.92081235288E+00,+3.95072346926E+00
-129.87493E-06,+3.96197608113E+00,+3.98165902104E+00
-129.82993E-06,+3.93238506538E+00,+3.99375725579E+00
-129.78493E-06,+3.92081381676E+00,+3.95072346926E+00
-129.73993E-06,+3.96197608113E+00,+3.95072346926E+00
-129.69493E-06,+3.96197608113E+00,+3.91978587692E+00
-129.64993E-06,+3.99156904872E+00,+3.90769172329E+00
-129.60493E-06,+4.03272984922E+00,+3.98166208188E+00
-129.55993E-06,+3.97354196220E+00,+3.99375419495E+00
-129.51493E-06,+3.89122231305E+00,+3.95072346926E+00
-129.46993E-06,+3.92081723248E+00,+3.98166361230E+00
-129.42493E-06,+3.96197608113E+00,+3.96281201134E+00
-129.37993E-06,+3.96197608113E+00,+3.93863594745E+00
-129.33493E-06,+3.96197608113E+00,+3.99375164425E+00
-129.28993E-06,+3.96197608113E+00,+3.95072346926E+00
-129.24493E-06,+3.93237872190E+00,+3.98166616300E+00
-129.19993E-06,+3.89122231305E+00,+3.99375011383E+00
-129.15493E-06,+3.95041898336E+00,+3.95072346926E+00
-129.10992E-06,+3.97353220299E+00,+3.91977924509E+00
-129.06492E-06,+3.92082162412E+00,+3.87675362080E+00
-129.01992E-06,+3.96197608113E+00,+3.90769886525E+00
-128.97492E-06,+3.96197608113E+00,+3.95072346926E+00
-128.92992E-06,+3.99157685609E+00,+3.95072346926E+00
-128.88492E-06,+4.03272984922E+00,+3.91977669439E+00
-128.83992E-06,+4.00312809834E+00,+3.90770090581E+00
-128.79492E-06,+3.96197608113E+00,+3.95072346926E+00
-128.74992E-06,+3.96197608113E+00,+3.95072346926E+00
-128.70492E-06,+3.93237286637E+00,+3.95072346926E+00
-128.65992E-06,+3.89122231305E+00,+3.95072346926E+00
-128.61492E-06,+3.89122231305E+00,+3.95072346926E+00
-128.56992E-06,+3.95043167033E+00,+3.95072346926E+00
-128.52492E-06,+4.00312468262E+00,+3.95072346926E+00
-128.47992E-06,+3.93237042657E+00,+3.88882073699E+00
-128.43492E-06,+3.92082845557E+00,+3.86468752489E+00
-128.38992E-06,+3.96197608113E+00,+3.95072346926E+00
-128.34492E-06,+3.96197608113E+00,+3.91977057270E+00
-128.29992E-06,+3.96197608113E+00,+3.87675362080E+00
-128.25492E-06,+3.96197608113E+00,+3.90770753764E+00
-128.20992E-06,+3.96197608113E+00,+3.91976904228E+00
-128.16492E-06,+3.96197608113E+00,+3.90770855792E+00
-128.11992E-06,+3.99158563938E+00,+3.95072346926E+00
-128.07492E-06,+4.03272984922E+00,+3.91976751186E+00
-128.02992E-06,+4.00311931505E+00,+3.87675362080E+00
-127.98492E-06,+3.96197608113E+00,+3.90771059848E+00
-127.93992E-06,+3.93236457105E+00,+3.95072346926E+00
-127.89492E-06,+3.89122231305E+00,+3.91976547130E+00
-127.84992E-06,+3.92083479905E+00,+3.93867063700E+00
-127.80492E-06,+3.96197608113E+00,+4.02469331771E+00
-127.75992E-06,+3.96197608113E+00,+4.02469331771E+00
-127.71492E-06,+3.93236213125E+00,+3.99373327919E+00
-127.66991E-06,+3.92083675089E+00,+3.98168401792E+00
-127.62491E-06,+3.93236115532E+00,+4.02469331771E+00
-127.57991E-06,+3.92083772682E+00,+3.99373174877E+00
-127.53491E-06,+3.96197608113E+00,+3.91976139018E+00
-127.48991E-06,+3.93235969144E+00,+3.90771621002E+00
-127.44491E-06,+3.92083919070E+00,+3.95072346926E+00
-127.39991E-06,+3.96197608113E+00,+3.95072346926E+00
-127.35491E-06,+3.96197608113E+00,+3.95072346926E+00
-127.30991E-06,+3.96197608113E+00,+3.95072346926E+00
-127.26491E-06,+3.96197608113E+00,+3.95072346926E+00
-127.21991E-06,+3.96197608113E+00,+3.91975781919E+00
-127.17491E-06,+3.96197608113E+00,+3.90771978101E+00
-127.12991E-06,+3.96197608113E+00,+3.95072346926E+00
-127.08491E-06,+3.96197608113E+00,+3.91975628877E+00
-127.03991E-06,+3.96197608113E+00,+3.90772131143E+00
-126.99491E-06,+3.93235432388E+00,+3.95072346926E+00
-126.94991E-06,+3.92084455826E+00,+3.91975475835E+00
-126.90491E-06,+3.99159881431E+00,+3.90772284185E+00
-126.85991E-06,+4.00310662808E+00,+3.95072346926E+00
-126.81491E-06,+3.93235237204E+00,+3.91975322793E+00
-126.76991E-06,+3.92084651010E+00,+3.90772437227E+00
-126.72491E-06,+3.99160076615E+00,+3.95072346926E+00
-126.67991E-06,+4.00310467624E+00,+3.95072346926E+00
-126.63491E-06,+3.99160174207E+00,+3.95072346926E+00
-126.58991E-06,+3.97347755142E+00,+3.95072346926E+00
-126.54491E-06,+3.92084894990E+00,+3.95072346926E+00
-126.49991E-06,+3.93234895631E+00,+3.95072346926E+00
-126.45491E-06,+3.95047753860E+00,+3.95072346926E+00
-126.40991E-06,+4.00310174848E+00,+3.95072346926E+00
-126.36491E-06,+3.99160466983E+00,+3.95072346926E+00
-126.31991E-06,+3.97347169590E+00,+3.95072346926E+00
-126.27491E-06,+3.92085187767E+00,+3.91974710625E+00
-126.22991E-06,+3.96197608113E+00,+3.90773049396E+00
-126.18490E-06,+3.93234554059E+00,+3.95072346926E+00
-126.13990E-06,+3.92085334155E+00,+3.95072346926E+00
-126.09490E-06,+3.96197608113E+00,+3.88876666211E+00
-126.04990E-06,+3.93234407671E+00,+3.86474159978E+00
-126.00490E-06,+3.92085480543E+00,+3.95072346926E+00
-125.95990E-06,+3.96197608113E+00,+3.91974353526E+00
-125.91490E-06,+3.96197608113E+00,+3.90773406494E+00
-125.86990E-06,+3.96197608113E+00,+3.95072346926E+00
-125.82490E-06,+3.93234163691E+00,+3.95072346926E+00
-125.77990E-06,+3.89122231305E+00,+3.91974149470E+00
-125.73490E-06,+3.92085773319E+00,+3.87675362080E+00
-125.68990E-06,+3.96197608113E+00,+3.90773661564E+00
-125.64490E-06,+3.96197608113E+00,+3.91973996428E+00
-125.59990E-06,+3.93233919711E+00,+3.87675362080E+00
-125.55490E-06,+3.92085968503E+00,+3.87675362080E+00
-125.50990E-06,+3.99161394108E+00,+3.87675362080E+00
-125.46490E-06,+3.97345315341E+00,+3.87675362080E+00
-125.41990E-06,+3.95049998478E+00,+3.90773967648E+00
-125.37490E-06,+4.00309052539E+00,+3.91973690344E+00
-125.32990E-06,+3.93233626934E+00,+3.87675362080E+00
-125.28490E-06,+3.95050291254E+00,+3.87675362080E+00
-125.23990E-06,+4.00308906151E+00,+3.87675362080E+00
-125.19490E-06,+3.93233480546E+00,+3.90774222718E+00
-125.14990E-06,+3.92086407668E+00,+3.95072346926E+00
-125.10490E-06,+3.96197608113E+00,+3.98171309592E+00
-125.05990E-06,+3.93233334158E+00,+3.99370318091E+00
-125.01490E-06,+3.92086554056E+00,+3.98171411620E+00
-124.96990E-06,+3.96197608113E+00,+3.99370216063E+00
-124.92490E-06,+3.96197608113E+00,+3.95072346926E+00
-124.87990E-06,+3.96197608113E+00,+3.91973129189E+00
-124.83490E-06,+3.93233090178E+00,+3.87675362080E+00
-124.78990E-06,+3.92086798036E+00,+3.84576042316E+00
-124.74489E-06,+3.96197608113E+00,+3.83377748013E+00
-124.69989E-06,+3.96197608113E+00,+3.90774783873E+00
-124.65489E-06,+3.99162321233E+00,+3.95072346926E+00
-124.60989E-06,+3.97343461091E+00,+3.95072346926E+00
-124.56489E-06,+3.89122231305E+00,+3.91972772091E+00
-124.51989E-06,+3.95051950320E+00,+3.90774987929E+00
-124.47489E-06,+4.00308076618E+00,+3.95072346926E+00
-124.42989E-06,+3.96197608113E+00,+3.95072346926E+00
-124.38489E-06,+3.93232602218E+00,+3.95072346926E+00
-124.33989E-06,+3.89122231305E+00,+3.98172176831E+00
-124.29489E-06,+3.89122231305E+00,+3.96269569933E+00
-124.24989E-06,+3.92087383588E+00,+3.90775294013E+00
-124.20489E-06,+3.96197608113E+00,+3.95072346926E+00
-124.15989E-06,+3.93232358237E+00,+3.91972312965E+00
-124.11489E-06,+3.89122231305E+00,+3.90775447055E+00
-124.06989E-06,+3.92087578773E+00,+3.95072346926E+00
-124.02489E-06,+3.99163004377E+00,+3.95072346926E+00
-123.97989E-06,+4.00307539862E+00,+3.95072346926E+00
-123.93489E-06,+3.99163101969E+00,+3.95072346926E+00
-123.88989E-06,+4.00307442270E+00,+3.95072346926E+00
-123.84489E-06,+3.93232016665E+00,+3.95072346926E+00
-123.79989E-06,+3.89122231305E+00,+3.95072346926E+00
-123.75489E-06,+3.92087920345E+00,+3.91971853838E+00
-123.70989E-06,+3.93231870277E+00,+3.90775906182E+00
-123.66489E-06,+3.92088017937E+00,+3.98172942041E+00
-123.61989E-06,+3.96197608113E+00,+3.96268039512E+00
-123.57489E-06,+3.96197608113E+00,+3.90776059224E+00
-123.52989E-06,+3.93231675093E+00,+3.95072346926E+00
-123.48489E-06,+3.92088213121E+00,+3.95072346926E+00
-123.43989E-06,+3.96197608113E+00,+3.95072346926E+00
-123.39489E-06,+3.96197608113E+00,+3.91971445726E+00
-123.34989E-06,+3.96197608113E+00,+3.87675362080E+00
-123.30488E-06,+3.93231431113E+00,+3.93877368536E+00
-123.25988E-06,+3.89122231305E+00,+3.99368277529E+00
-123.21488E-06,+3.89122231305E+00,+3.95072346926E+00
-123.16988E-06,+3.92088554693E+00,+3.91971190656E+00
-123.12488E-06,+3.96197608113E+00,+3.87675362080E+00
-123.07988E-06,+3.96197608113E+00,+3.90776620378E+00
-123.03488E-06,+3.96197608113E+00,+3.95072346926E+00
-122.98988E-06,+3.96197608113E+00,+3.91970986600E+00
-122.94488E-06,+3.96197608113E+00,+3.87675362080E+00
-122.89988E-06,+3.96197608113E+00,+3.93878286789E+00
-122.85488E-06,+3.99164273074E+00,+3.99367818403E+00
-122.80988E-06,+4.00306271165E+00,+3.95072346926E+00
-122.76488E-06,+3.93230845560E+00,+3.95072346926E+00
-122.71988E-06,+3.92089042654E+00,+3.95072346926E+00
-122.67488E-06,+3.99164468258E+00,+3.95072346926E+00
-122.62988E-06,+4.00306075981E+00,+3.91970578487E+00
-122.58488E-06,+3.96197608113E+00,+3.90777181533E+00
-122.53988E-06,+3.96197608113E+00,+3.95072346926E+00
-122.49488E-06,+3.96197608113E+00,+3.95072346926E+00
-122.44988E-06,+3.96197608113E+00,+3.91970374431E+00
-122.40488E-06,+3.96197608113E+00,+3.90777385589E+00
-122.35988E-06,+3.93230406396E+00,+3.95072346926E+00
-122.31488E-06,+3.92089481818E+00,+3.95072346926E+00
-122.26988E-06,+3.96197608113E+00,+3.95072346926E+00
-122.22488E-06,+3.96197608113E+00,+3.95072346926E+00
-122.17988E-06,+3.96197608113E+00,+3.91970068347E+00
-122.13488E-06,+3.96197608113E+00,+3.90777691673E+00
-122.08988E-06,+3.93230113620E+00,+3.95072346926E+00
-122.04488E-06,+3.92089774594E+00,+3.91969915305E+00
-121.99988E-06,+3.93230016028E+00,+3.90777844715E+00
-121.95488E-06,+3.92089872186E+00,+3.95072346926E+00
-121.90988E-06,+3.96197608113E+00,+3.88867177600E+00
-121.86487E-06,+3.96197608113E+00,+3.86483648589E+00
-121.81987E-06,+3.96197608113E+00,+3.91969660235E+00
-121.77487E-06,+3.96197608113E+00,+3.90778099786E+00
-121.72987E-06,+3.96197608113E+00,+3.95072346926E+00
-121.68487E-06,+3.96197608113E+00,+3.95072346926E+00
-121.63987E-06,+3.96197608113E+00,+3.95072346926E+00
-121.59487E-06,+3.96197608113E+00,+3.91969405164E+00
-121.54987E-06,+3.96197608113E+00,+3.87675362080E+00
-121.50487E-06,+3.96197608113E+00,+3.90778405870E+00
-121.45987E-06,+3.96197608113E+00,+3.91969252122E+00
-121.41487E-06,+3.96197608113E+00,+3.90778507898E+00
-121.36987E-06,+3.93229332883E+00,+3.95072346926E+00
-121.32487E-06,+3.92090555331E+00,+3.91969099080E+00
-121.27987E-06,+3.96197608113E+00,+3.87675362080E+00
-121.23487E-06,+3.93229186495E+00,+3.90778711954E+00
-121.18987E-06,+3.92090701719E+00,+3.91968946038E+00
-121.14487E-06,+3.96197608113E+00,+3.90778813982E+00
-121.09987E-06,+3.99166176120E+00,+3.91968844010E+00
-121.05487E-06,+4.00304368119E+00,+3.87675362080E+00
-121.00987E-06,+3.99166273712E+00,+3.93882571968E+00
-120.96487E-06,+4.00304270527E+00,+3.99365675813E+00
-120.91987E-06,+3.96197608113E+00,+3.98176053898E+00
-120.87487E-06,+3.99166420100E+00,+3.99365573785E+00
-120.82987E-06,+4.00304124139E+00,+3.95072346926E+00
-120.78487E-06,+3.93228698535E+00,+3.95072346926E+00
-120.73987E-06,+3.92091189679E+00,+3.91968435898E+00
-120.69487E-06,+3.99166615284E+00,+3.90779324123E+00
-120.64987E-06,+4.00303928955E+00,+3.95072346926E+00
-120.60487E-06,+3.96197608113E+00,+3.95072346926E+00
-120.55987E-06,+3.93228454554E+00,+3.95072346926E+00
-120.51487E-06,+3.92091433660E+00,+3.91968180827E+00
-120.46987E-06,+3.96197608113E+00,+3.90779579193E+00
-120.42486E-06,+3.96197608113E+00,+3.95072346926E+00
-120.37986E-06,+3.96197608113E+00,+3.95072346926E+00
-120.33486E-06,+3.96197608113E+00,+3.91967976771E+00
-120.28986E-06,+3.93228161778E+00,+3.93884204417E+00
-120.24486E-06,+3.89122231305E+00,+3.99364859589E+00
-120.19986E-06,+3.89122231305E+00,+3.95072346926E+00
-120.15486E-06,+3.92091824028E+00,+3.95072346926E+00
-120.10986E-06,+3.96197608113E+00,+3.95072346926E+00
-120.06486E-06,+3.96197608113E+00,+3.95072346926E+00
-120.01986E-06,+3.96197608113E+00,+3.91967619673E+00
-119.97486E-06,+3.93227820206E+00,+3.87675362080E+00
-119.92986E-06,+3.95061904711E+00,+3.90780191361E+00
-119.88486E-06,+4.00303099422E+00,+3.95072346926E+00
-119.83986E-06,+3.99167542409E+00,+3.91967415617E+00
-119.79486E-06,+3.97333018739E+00,+3.90780344403E+00
