Tid (s),Ackumulerad energi (J)
0.508,0.02482171
0.509,0.02487244
0.510,0.02492247
0.511,0.02497533
0.512,0.02502607
0.513,0.02507710
0.514,0.02512771
0.515,0.02517882
0.516,0.02523082
0.517,0.02528281
0.518,0.02533301
0.519,0.02538361
0.520,0.02543307
0.521,0.02548324
0.522,0.02553440
0.523,0.02558658
0.524,0.02563584
0.525,0.02568816
0.526,0.02573738
0.527,0.02578881
0.528,0.02583955
0.529,0.02588812
0.530,0.02593905
0.531,0.02599215
0.532,0.02604345
0.533,0.02609366
0.534,0.02614539
0.535,0.02619681
0.536,0.02625043
0.537,0.02630290
0.538,0.02635595
0.539,0.02640827
0.540,0.02645986
0.541,0.02651061
0.542,0.02656288
0.543,0.02661388
0.544,0.02666427
0.545,0.02671445
0.546,0.02676539
0.547,0.02681702
0.548,0.02686846
0.549,0.02691824
0.550,0.02696765
0.551,0.02701864
0.552,0.02707118
0.553,0.02712213
0.554,0.02717404
0.555,0.02722506
0.556,0.02727616
0.557,0.02732674
0.558,0.02737766
0.559,0.02742991
0.560,0.02748039
0.561,0.02753300
0.562,0.02758508
0.563,0.02763689
0.564,0.02768810
0.565,0.02773884
0.566,0.02779068
0.567,0.02784175
0.568,0.02789485
0.569,0.02794604
0.570,0.02799615
0.571,0.02804767
0.572,0.02809763
0.573,0.02814763
0.574,0.02819848
0.575,0.02824978
0.576,0.02830122
0.577,0.02835254
0.578,0.02840244
0.579,0.02845234
0.580,0.02850339
0.581,0.02855597
0.582,0.02860528
0.583,0.02865637
0.584,0.02870893
0.585,0.02876021
0.586,0.02881178
0.587,0.02886218
0.588,0.02891286
0.589,0.02896544
0.590,0.02901581
0.591,0.02906685
0.592,0.02911827
0.593,0.02916793
0.594,0.02921809
0.595,0.02927033
0.596,0.02931959
0.597,0.02937006
0.598,0.02942056
0.599,0.02947229
0.600,0.02952215
0.601,0.02957376
0.602,0.02962312
0.603,0.02967535
0.604,0.02972272
0.605,0.02977288
0.606,0.02982530
0.607,0.02987693
0.608,0.02992689
0.609,0.02997911
0.610,0.03003037
0.611,0.03008086
0.612,0.03013099
0.613,0.03018133
0.614,0.03023319
0.615,0.03028573
0.616,0.03033604
0.617,0.03038532
0.618,0.03043651
0.619,0.03048656
0.620,0.03053844
0.621,0.03058953
0.622,0.03064148
0.623,0.03069289
0.624,0.03074593
0.625,0.03079908
0.626,0.03085248
0.627,0.03090368
0.628,0.03095350
0.629,0.03100475
0.630,0.03105693
0.631,0.03110732
0.632,0.03115620
0.633,0.03120709
0.634,0.03125901
0.635,0.03130942
0.636,0.03135989
0.637,0.03141101
0.638,0.03146154
0.639,0.03151183
0.640,0.03156529
0.641,0.03161456
0.642,0.03166508
0.643,0.03171569
0.644,0.03176600
0.645,0.03181599
0.646,0.03186663
0.647,0.03191590
0.648,0.03196763
0.649,0.03201830
0.650,0.03206964
0.651,0.03212097
0.652,0.03217283
0.653,0.03222343
0.654,0.03227354
0.655,0.03232358
0.656,0.03237510
0.657,0.03242623
0.658,0.03247718
0.659,0.03252893
0.660,0.03257976
0.661,0.03263031
0.662,0.03268169
0.663,0.03273123
0.664,0.03278236
0.665,0.03283569
0.666,0.03288747
0.667,0.03293887
0.668,0.03298939
0.669,0.03303977
0.670,0.03309200
0.671,0.03314224
0.672,0.03319239
0.673,0.03324500
0.674,0.03329687
0.675,0.03334854
0.676,0.03339844
0.677,0.03344827
0.678,0.03349749
0.679,0.03355036
0.680,0.03360129
0.681,0.03365213
0.682,0.03370374
0.683,0.03375569
0.684,0.03380669
0.685,0.03385937
0.686,0.03390992
0.687,0.03396180
0.688,0.03401275
0.689,0.03406390
0.690,0.03411404
0.691,0.03416344
0.692,0.03421386
0.693,0.03426599
0.694,0.03431681
0.695,0.03436741
0.696,0.03441740
0.697,0.03446763
0.698,0.03451838
0.699,0.03456883
0.700,0.03461993
0.701,0.03467144
0.702,0.03472084
0.703,0.03477259
0.704,0.03482251
0.705,0.03487386
0.706,0.03492357
0.707,0.03497366
0.708,0.03502556
0.709,0.03507695
0.710,0.03512861
0.711,0.03517836
0.712,0.03522912
0.713,0.03527921
0.714,0.03533021
0.715,0.03538235
0.716,0.03543451
0.717,0.03548586
0.718,0.03553737
0.719,0.03558751
0.720,0.03563908
0.721,0.03568860
0.722,0.03574069
0.723,0.03579274
0.724,0.03584231
0.725,0.03589278
0.726,0.03594334
0.727,0.03599355
0.728,0.03604351
0.729,0.03609365
0.730,0.03614705
0.731,0.03619729
0.732,0.03624832
0.733,0.03629739
0.734,0.03634861
0.735,0.03639795
0.736,0.03644882
0.737,0.03649847
0.738,0.03654807
0.739,0.03660018
0.740,0.03665044
0.741,0.03670112
0.742,0.03675304
0.743,0.03680386
0.744,0.03685422
0.745,0.03690581
0.746,0.03695846
0.747,0.03700819
0.748,0.03706158
0.749,0.03711121
0.750,0.03716349
0.751,0.03721527
0.752,0.03726700
0.753,0.03731736
0.754,0.03736909
0.755,0.03741965
0.756,0.03747074
0.757,0.03752282
0.758,0.03757272
0.759,0.03762252
0.760,0.03767371
0.761,0.03772380
0.762,0.03777440
0.763,0.03782527
0.764,0.03787775
0.765,0.03792965
0.766,0.03798151
0.767,0.03803362
0.768,0.03808483
0.769,0.03813627
0.770,0.03818782
0.771,0.03823844
0.772,0.03828919
0.773,0.03833937
0.774,0.03839097
0.775,0.03844177
0.776,0.03849250
0.777,0.03854407
0.778,0.03859522
0.779,0.03864643
0.780,0.03869643
0.781,0.03874687
0.782,0.03879690
0.783,0.03884758
0.784,0.03889891
0.785,0.03894955
0.786,0.03900064
0.787,0.03905142
0.788,0.03910142
0.789,0.03915345
0.790,0.03920341
0.791,0.03925360
0.792,0.03930510
0.793,0.03935686
0.794,0.03940843
0.795,0.03945920
0.796,0.03951157
0.797,0.03956286
0.798,0.03961421
0.799,0.03966549
0.800,0.03971715
0.801,0.03976952
0.802,0.03982118
0.803,0.03987101
0.804,0.03992324
0.805,0.03997441
0.806,0.04002491
0.807,0.04007644
0.808,0.04012726
0.809,0.04017769
0.810,0.04022730
0.811,0.04028076
0.812,0.04033330
0.813,0.04038548
0.814,0.04043603
0.815,0.04048762
0.816,0.04053760
0.817,0.04059079
0.818,0.04064281
0.819,0.04069262
0.820,0.04074386
0.821,0.04079563
0.822,0.04084682
0.823,0.04089715
0.824,0.04094899
0.825,0.04099788
0.826,0.04104878
0.827,0.04109928
0.828,0.04114922
0.829,0.04120055
0.830,0.04125009
0.831,0.04130147
0.832,0.04135098
0.833,0.04140149
0.834,0.04145379
0.835,0.04150399
0.836,0.04155508
0.837,0.04160490
0.838,0.04165453
0.839,0.04170402
0.840,0.04175490
0.841,0.04180616
0.842,0.04185471
0.843,0.04190531
0.844,0.04195662
0.845,0.04200721
0.846,0.04205905
0.847,0.04211102
0.848,0.04216067
0.849,0.04221144
0.850,0.04226327
0.851,0.04231241
0.852,0.04236630
0.853,0.04241859
0.854,0.04247051
0.855,0.04252171
0.856,0.04257243
0.857,0.04262271
0.858,0.04267327
0.859,0.04272478
0.860,0.04277572
0.861,0.04282557
0.862,0.04287585
0.863,0.04292828
0.864,0.04298108
0.865,0.04303194
0.866,0.04308206
0.867,0.04313348
0.868,0.04318267
0.869,0.04323281
0.870,0.04328502
0.871,0.04333536
0.872,0.04338606
0.873,0.04343565
0.874,0.04348610
0.875,0.04353722
0.876,0.04358839
0.877,0.04363934
0.878,0.04368905
0.879,0.04374205
0.880,0.04379382
0.881,0.04384386
0.882,0.04389559
0.883,0.04394733
0.884,0.04399957
0.885,0.04405006
0.886,0.04410084
0.887,0.04415076
0.888,0.04420235
0.889,0.04425233
0.890,0.04430396
0.891,0.04435483
0.892,0.04440476
0.893,0.04445505
0.894,0.04450453
0.895,0.04455488
0.896,0.04460558
0.897,0.04465520
0.898,0.04470678
0.899,0.04475846
0.900,0.04481112
0.901,0.04486178
0.902,0.04491370
0.903,0.04496694
0.904,0.04501767
0.905,0.04506870
0.906,0.04512020
0.907,0.04517263
0.908,0.04522342
0.909,0.04527517
0.910,0.04532697
0.911,0.04537820
0.912,0.04542945
0.913,0.04547951
0.914,0.04552827
0.915,0.04557653
0.916,0.04562635
0.917,0.04567647
0.918,0.04572799
0.919,0.04577986
0.920,0.04583120
0.921,0.04588179
0.922,0.04593303
0.923,0.04598446
0.924,0.04603552
0.925,0.04608711
0.926,0.04614031
0.927,0.04619081
0.928,0.04624202
0.929,0.04629187
0.930,0.04634252
0.931,0.04639306
0.932,0.04644302
0.933,0.04649500
0.934,0.04654579
0.935,0.04659584
0.936,0.04664584
0.937,0.04669776
0.938,0.04674958
0.939,0.04680020
0.940,0.04685150
0.941,0.04690330
0.942,0.04695276
0.943,0.04700379
0.944,0.04705420
0.945,0.04710397
0.946,0.04715648
0.947,0.04720864
0.948,0.04726091
0.949,0.04731228
0.950,0.04736458
0.951,0.04741541
0.952,0.04746630
0.953,0.04751702
0.954,0.04756742
0.955,0.04761661
0.956,0.04766752
0.957,0.04771645
0.958,0.04776823
0.959,0.04781933
0.960,0.04787026
0.961,0.04792118
0.962,0.04797293
0.963,0.04802368
0.964,0.04807348
0.965,0.04812537
0.966,0.04817538
0.967,0.04822567
0.968,0.04827675
0.969,0.04832673
0.970,0.04837851
0.971,0.04843102
0.972,0.04848049
0.973,0.04853067
0.974,0.04858238
0.975,0.04863242
0.976,0.04868348
0.977,0.04873305
0.978,0.04878375
0.979,0.04883433
0.980,0.04888387
0.981,0.04893610
0.982,0.04898714
0.983,0.04903823
0.984,0.04909072
0.985,0.04914185
0.986,0.04919209
0.987,0.04924508
0.988,0.04929558
0.989,0.04934578
0.990,0.04939828
0.991,0.04944932
0.992,0.04950063
0.993,0.04955032
0.994,0.04960090
0.995,0.04965390
0.996,0.04970473
0.997,0.04975594
0.998,0.04980774
0.999,0.04986056
1.000,0.04991297
1.001,0.04996435
1.002,0.05001512
1.003,0.05006709
1.004,0.05011975
1.005,0.05016939
1.006,0.05022001
1.007,0.05026964
1.008,0.05032066
1.009,0.05037346
1.010,0.05042546
1.011,0.05047708
1.012,0.05052853
1.013,0.05058105
1.014,0.05063378
1.015,0.05068490
1.016,0.05073542
1.017,0.05078666
1.018,0.05083760
1.019,0.05088805
1.020,0.05093718
1.021,0.05098686
1.022,0.05103800
1.023,0.05108770
1.024,0.05113988
1.025,0.05119069
1.026,0.05124067
1.027,0.05129259
1.028,0.05134277
1.029,0.05138830
1.030,0.05143599
1.031,0.05148354
1.032,0.05153135
1.033,0.05157720
1.034,0.05162474
1.035,0.05167227
1.036,0.05171872
1.037,0.05176531
1.038,0.05181174
1.039,0.05185898
1.040,0.05190499
1.041,0.05195253
1.042,0.05200147
1.043,0.05204707
1.044,0.05209342
1.045,0.05214157
1.046,0.05218863
1.047,0.05223546
1.048,0.05228121
1.049,0.05232767
1.050,0.05237419
1.051,0.05242061
1.052,0.05246613
1.053,0.05251189
1.054,0.05255759
1.055,0.05260453
1.056,0.05265125
1.057,0.05269862
1.058,0.05274600
1.059,0.05279358
1.060,0.05283916
1.061,0.05288497
1.062,0.05293040
1.063,0.05297749
1.064,0.05302371
1.065,0.05307047
1.066,0.05311816
1.067,0.05316500
1.068,0.05321259
1.069,0.05325977
1.070,0.05330693
1.071,0.05335495
1.072,0.05340262
1.073,0.05344960
1.074,0.05349644
1.075,0.05354396
1.076,0.05359025
1.077,0.05363748
1.078,0.05368470
1.079,0.05373260
1.080,0.05377955
1.081,0.05382654
1.082,0.05387237
1.083,0.05391802
1.084,0.05396521
1.085,0.05401096
1.086,0.05405729
1.087,0.05410463
1.088,0.05415037
1.089,0.05419771
1.090,0.05424294
1.091,0.05428997
1.092,0.05433699
1.093,0.05438328
1.094,0.05442923
1.095,0.05447571
1.096,0.05452308
1.097,0.05456937
1.098,0.05461547
1.099,0.05466311
1.100,0.05470923
1.101,0.05475633
1.102,0.05480413
1.103,0.05485219
1.104,0.05489861
1.105,0.05494548
1.106,0.05499220
1.107,0.05503784
1.108,0.05508349
1.109,0.05512937
1.110,0.05517460
1.111,0.05522218
1.112,0.05526910
1.113,0.05531562
1.114,0.05536510
1.115,0.05541192
1.116,0.05545925
1.117,0.05550528
1.118,0.05555271
1.119,0.05560031
1.120,0.05564820
1.121,0.05569618
1.122,0.05574246
1.123,0.05579020
1.124,0.05583727
1.125,0.05588383
1.126,0.05593119
1.127,0.05598026
1.128,0.05602610
1.129,0.05607350
1.130,0.05612171
1.131,0.05616882
1.132,0.05621623
1.133,0.05626294
1.134,0.05631065
1.135,0.05635732
1.136,0.05640320
1.137,0.05644969
1.138,0.05649684
1.139,0.05654464
1.140,0.05659217
1.141,0.05663664
1.142,0.05668455
1.143,0.05673076
1.144,0.05677737
1.145,0.05682305
1.146,0.05687117
1.147,0.05691877
1.148,0.05696393
1.149,0.05701248
1.150,0.05705951
1.151,0.05710377
1.152,0.05715089
1.153,0.05719808
1.154,0.05724459
1.155,0.05729279
1.156,0.05734071
1.157,0.05738745
1.158,0.05743378
1.159,0.05748113
1.160,0.05752828
1.161,0.05757466
1.162,0.05762134
1.163,0.05766830
1.164,0.05771508
1.165,0.05776206
1.166,0.05780957
1.167,0.05785539
1.168,0.05790089
1.169,0.05794817
1.170,0.05799477
1.171,0.05804070
1.172,0.05808814
1.173,0.05813554
1.174,0.05818178
1.175,0.05822947
1.176,0.05827542
1.177,0.05832286
1.178,0.05837020
1.179,0.05841765
1.180,0.05846388
1.181,0.05851099
1.182,0.05855939
1.183,0.05860648
1.184,0.05865424
1.185,0.05870103
1.186,0.05874994
1.187,0.05879703
1.188,0.05884343
1.189,0.05888930
1.190,0.05893685
1.191,0.05898392
1.192,0.05903136
1.193,0.05907771
1.194,0.05912520
1.195,0.05917339
1.196,0.05921841
1.197,0.05926668
1.198,0.05931367
1.199,0.05936224
1.200,0.05941003
1.201,0.05945799
1.202,0.05950288
1.203,0.05954910
1.204,0.05959659
1.205,0.05964413
1.206,0.05969056
1.207,0.05973877
1.208,0.05978466
1.209,0.05983013
1.210,0.05987822
1.211,0.05992599
1.212,0.05997414
1.213,0.06002224
1.214,0.06007013
1.215,0.06011659
1.216,0.06016336
1.217,0.06021013
1.218,0.06025849
1.219,0.06030688
1.220,0.06035376
1.221,0.06040101
1.222,0.06044556
1.223,0.06049216
1.224,0.06053876
1.225,0.06058572
1.226,0.06063274
1.227,0.06067750
1.228,0.06072498
1.229,0.06077297
1.230,0.06082089
1.231,0.06086897
1.232,0.06091579
1.233,0.06096153
1.234,0.06100923
1.235,0.06105572
1.236,0.06110363
1.237,0.06115135
1.238,0.06119815
1.239,0.06124576
1.240,0.06129250
1.241,0.06133909
1.242,0.06138537
1.243,0.06143363
1.244,0.06148186
1.245,0.06152920
1.246,0.06157830
1.247,0.06162570
1.248,0.06167224
1.249,0.06171973
1.250,0.06176722
1.251,0.06181551
1.252,0.06186087
1.253,0.06190561
1.254,0.06195218
1.255,0.06199895
1.256,0.06204693
1.257,0.06209344
1.258,0.06214102
1.259,0.06218829
1.260,0.06223732
1.261,0.06228399
1.262,0.06233096
1.263,0.06237666
1.264,0.06242534
1.265,0.06247266
1.266,0.06251888
1.267,0.06256726
1.268,0.06261472
1.269,0.06266184
1.270,0.06270911
1.271,0.06275660
1.272,0.06280255
1.273,0.06284935
1.274,0.06289737
1.275,0.06294529
1.276,0.06299296
1.277,0.06304058
1.278,0.06308772
1.279,0.06313493
1.280,0.06318163
1.281,0.06322868
1.282,0.06327638
1.283,0.06332255
1.284,0.06336778
1.285,0.06341427
1.286,0.06346194
1.287,0.06350919
1.288,0.06355684
1.289,0.06360237
1.290,0.06364805
1.291,0.06369568
1.292,0.06374191
1.293,0.06378929
1.294,0.06384078
1.295,0.06389179
1.296,0.06394496
1.297,0.06399613
1.298,0.06404588
1.299,0.06409734
1.300,0.06414797
1.301,0.06419746
1.302,0.06424783
1.303,0.06429901
1.304,0.06435266
1.305,0.06440466
1.306,0.06445665
1.307,0.06450603
1.308,0.06455489
1.309,0.06460755
1.310,0.06465799
1.311,0.06471059
1.312,0.06476115
1.313,0.06481124
1.314,0.06486132
1.315,0.06491234
1.316,0.06496280
1.317,0.06501398
1.318,0.06506506
1.319,0.06511703
1.320,0.06516882
1.321,0.06522015
1.322,0.06527040
1.323,0.06532269
1.324,0.06537467
1.325,0.06542693
1.326,0.06547822
1.327,0.06552825
1.328,0.06557991
1.329,0.06562893
1.330,0.06568123
1.331,0.06573347
1.332,0.06578456
1.333,0.06583555
1.334,0.06588687
1.335,0.06593922
1.336,0.06599109
1.337,0.06604176
1.338,0.06609230
1.339,0.06614385
1.340,0.06619554
1.341,0.06624721
1.342,0.06630013
1.343,0.06635309
1.344,0.06640365
1.345,0.06645563
1.346,0.06650599
1.347,0.06655828
1.348,0.06660835
1.349,0.06665795
1.350,0.06670965
1.351,0.06675686
1.352,0.06680555
1.353,0.06685585
1.354,0.06690827
1.355,0.06695966
1.356,0.06701109
1.357,0.06706143
1.358,0.06711234
1.359,0.06716295
1.360,0.06721505
1.361,0.06726621
1.362,0.06731653
1.363,0.06736747
1.364,0.06741771
1.365,0.06746940
1.366,0.06752004
1.367,0.06757084
1.368,0.06762299
1.369,0.06767478
1.370,0.06772511
1.371,0.06777707
1.372,0.06782735
1.373,0.06787726
1.374,0.06792923
1.375,0.06798128
1.376,0.06803185
1.377,0.06808306
1.378,0.06813527
1.379,0.06818692
1.380,0.06823838
1.381,0.06828883
1.382,0.06833933
1.383,0.06839212
1.384,0.06844373
1.385,0.06849412
1.386,0.06854514
1.387,0.06859703
1.388,0.06864758
1.389,0.06869930
1.390,0.06874953
1.391,0.06879941
1.392,0.06885059
1.393,0.06890191
1.394,0.06895333
1.395,0.06900273
