Level	Date and Time	Source	Event ID	Task Category
Information	23-11-2021 23:04:12	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 233 to 235.

Reason: 15"
Information	23-11-2021 23:04:12	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 232 to 233.

Reason: 15"
Information	23-11-2021 23:04:12	Microsoft-Windows-Kernel-Boot	32	(58)	The bootmgr spent 0 ms waiting for user input.
Information	23-11-2021 23:04:12	Microsoft-Windows-Kernel-Boot	18	(57)	There are 0x1 boot options on this system.
Information	23-11-2021 23:04:12	Microsoft-Windows-Kernel-Boot	30	(21)	The firmware reported boot metrics.
Information	23-11-2021 23:04:08	Microsoft-Windows-Kernel-General	1	(5)	"The system time has changed to ‎2021‎-‎11‎-‎23T17:34:08.500000000Z from ‎2021‎-‎11‎-‎23T17:33:02.086859500Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2021‎-‎11‎-‎23T23:04:08.500000000Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information	23-11-2021 23:03:02	Microsoft-Windows-Kernel-Power	107	(102)	The system has resumed from sleep.
Error	23-11-2021 23:04:14	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{59426481-F96A-490F-9157-08A6F626BD36} because another computer on the network has the same name.  The server could not start.
Error	23-11-2021 23:04:14	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{9F961AE3-9423-4C8B-AB48-B1886999008B} because another computer on the network has the same name.  The server could not start.
Information	23-11-2021 23:02:50	Microsoft-Windows-UserModePowerService	12	(10)	Process C:\Windows\System32\svchost.exe (process ID:1652) reset policy scheme from {48684d4a-8524-4093-8a63-ea7132b79c1c} to {48684d4a-8524-4093-8a63-ea7132b79c1c}
Information	23-11-2021 23:02:50	Microsoft-Windows-Kernel-Power	105	(100)	Power source change.
Information	23-11-2021 23:02:50	Microsoft-Windows-Kernel-Power	42	(64)	"The system is entering sleep.

Sleep Reason: Battery"
Information	23-11-2021 23:02:38	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 231 to 232.

Reason: 15"
Information	23-11-2021 23:02:34	Microsoft-Windows-Kernel-Power	524	(223)	Critical Battery Trigger Met
Information	23-11-2021 22:42:49	Microsoft-Windows-UserModePowerService	12	(10)	Process C:\Windows\System32\svchost.exe (process ID:1652) reset policy scheme from {48684d4a-8524-4093-8a63-ea7132b79c1c} to {48684d4a-8524-4093-8a63-ea7132b79c1c}
Warning	23-11-2021 21:37:09	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\mahendra SID (S-1-5-21-38077573-387163758-1783380300-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	23-11-2021 20:43:40	Microsoft-Windows-Kernel-Power	105	(100)	Power source change.
Error	23-11-2021 18:58:08	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{9F961AE3-9423-4C8B-AB48-B1886999008B} because another computer on the network has the same name.  The server could not start.
Warning	23-11-2021 18:57:59	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name activity.windows.com timed out after none of the configured DNS servers responded. Client PID 14228.
Error	23-11-2021 18:56:46	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{9F961AE3-9423-4C8B-AB48-B1886999008B} because another computer on the network has the same name.  The server could not start.
Error	23-11-2021 18:56:27	Service Control Manager	7009	None	A timeout was reached (30000 milliseconds) while waiting for the Intel(R) SUR QC Software Asset Manager service to connect.
Warning	23-11-2021 18:39:02	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\mahendra SID (S-1-5-21-38077573-387163758-1783380300-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning	23-11-2021 17:47:07	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\mahendra SID (S-1-5-21-38077573-387163758-1783380300-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	23-11-2021 17:45:36	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO.
Information	23-11-2021 17:45:33	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
Error	23-11-2021 17:45:30	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone.
Error	23-11-2021 17:45:30	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFJBH4-Microsoft.Windows.Photos.
Error	23-11-2021 17:45:13	Microsoft-Windows-DistributedCOM	10010	None	The server NcsiUwpApp_1000.22000.1.0_neutral_neutral_8wekyb3d8bbwe!App.AppXw175g9nmx2zykh9fyt6xjc0xf8vmj1w6.mca did not register with DCOM within the required timeout.
Information	23-11-2021 17:45:07	Microsoft-Windows-Power-Troubleshooter	1	None	"The system has returned from a low power state.

Sleep Time: ‎2021‎-‎11‎-‎23T11:03:48.809460300Z
Wake Time: ‎2021‎-‎11‎-‎23T12:15:01.264347000Z

Wake Source: Power Button"
Error	23-11-2021 17:45:06	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{9F961AE3-9423-4C8B-AB48-B1886999008B} because another computer on the network has the same name.  The server could not start.
Error	23-11-2021 17:45:04	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{59426481-F96A-490F-9157-08A6F626BD36} because another computer on the network has the same name.  The server could not start.
Information	23-11-2021 17:45:01	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 229 to 231.

Reason: 15"
Information	23-11-2021 17:45:00	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 228 to 229.

Reason: 15"
Information	23-11-2021 17:44:58	Microsoft-Windows-Kernel-Power	130	(33)	Firmware S3 times. SuspendStart: 127511648, SuspendEnd: 127511649
Information	23-11-2021 17:44:58	Microsoft-Windows-Kernel-Power	131	(33)	Firmware S3 times. ResumeCount: 4, FullResume: 1037, AverageResume: 1035
Information	23-11-2021 17:44:58	Microsoft-Windows-Kernel-General	1	(5)	"The system time has changed to ‎2021‎-‎11‎-‎23T12:14:58.500000000Z from ‎2021‎-‎11‎-‎23T11:04:05.410083400Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2021‎-‎11‎-‎23T17:44:58.500000000Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information	23-11-2021 16:34:05	Microsoft-Windows-Kernel-Power	107	(102)	The system has resumed from sleep.
Information	23-11-2021 16:34:00	Microsoft-Windows-Kernel-Power	42	(64)	"The system is entering sleep.

Sleep Reason: System Idle"
Information	23-11-2021 16:33:56	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NMPJ99VJBWV-Microsoft.YourPhone
Information	23-11-2021 16:33:56	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJBH4-Microsoft.Windows.Photos
Information	23-11-2021 16:33:50	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 226 to 228.

Reason: 15"
Information	23-11-2021 16:24:51	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 225 to 226.

Reason: 15"
Warning	23-11-2021 15:54:34	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\mahendra SID (S-1-5-21-38077573-387163758-1783380300-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning	23-11-2021 15:53:24	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\mahendra SID (S-1-5-21-38077573-387163758-1783380300-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning	23-11-2021 15:50:43	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\mahendra SID (S-1-5-21-38077573-387163758-1783380300-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning	23-11-2021 15:50:12	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\mahendra SID (S-1-5-21-38077573-387163758-1783380300-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning	23-11-2021 15:44:57	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\mahendra SID (S-1-5-21-38077573-387163758-1783380300-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	23-11-2021 15:08:10	Microsoft-Windows-Time-Service	158	None	The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information	23-11-2021 14:54:00	Service Control Manager	7040	None	The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information	23-11-2021 14:51:39	Service Control Manager	7040	None	The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information	23-11-2021 14:51:06	Microsoft-Windows-Time-Service	158	None	The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Warning	23-11-2021 14:50:29	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\mahendra SID (S-1-5-21-38077573-387163758-1783380300-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	23-11-2021 14:38:32	Microsoft-Windows-Winlogon	7002	(1102)	User Logoff Notification for Customer Experience Improvement Program
Information	23-11-2021 14:37:32	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 223 to 225.

Reason: 15"
Information	23-11-2021 14:37:23	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 222 to 223.

Reason: 15"
Information	23-11-2021 14:34:02	Microsoft-Windows-Time-Service	158	None	The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information	23-11-2021 14:25:52	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 220 to 222.

Reason: 15"
Information	23-11-2021 14:20:54	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 219 to 220.

Reason: 15"
Information	23-11-2021 14:16:58	Microsoft-Windows-Time-Service	158	None	The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Error	23-11-2021 14:15:37	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO.
Information	23-11-2021 14:15:37	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
Error	23-11-2021 14:15:34	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone.
Information	23-11-2021 14:15:32	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NMPJ99VJBWV-Microsoft.YourPhone
Information	23-11-2021 14:15:32	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Error	23-11-2021 14:15:20	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFJBH4-Microsoft.Windows.Photos.
Information	23-11-2021 14:15:19	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJBH4-Microsoft.Windows.Photos
Information	23-11-2021 14:15:18	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	23-11-2021 14:15:18	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Error	23-11-2021 14:13:34	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{9F961AE3-9423-4C8B-AB48-B1886999008B} because another computer on the network has the same name.  The server could not start.
Error	23-11-2021 14:11:56	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO.
Information	23-11-2021 14:11:55	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
Error	23-11-2021 14:10:35	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone.
Information	23-11-2021 14:10:34	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NMPJ99VJBWV-Microsoft.YourPhone
Information	23-11-2021 14:10:34	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Error	23-11-2021 14:10:24	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFJBH4-Microsoft.Windows.Photos.
Information	23-11-2021 14:10:24	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJBH4-Microsoft.Windows.Photos
Information	23-11-2021 14:10:24	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	23-11-2021 14:10:24	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Error	23-11-2021 14:09:23	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO.
Information	23-11-2021 14:09:22	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
Information	23-11-2021 14:07:41	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Error	23-11-2021 14:04:11	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFJBH4-Microsoft.Windows.Photos.
Error	23-11-2021 14:04:11	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone.
Information	23-11-2021 14:04:09	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NMPJ99VJBWV-Microsoft.YourPhone
Information	23-11-2021 14:04:07	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJBH4-Microsoft.Windows.Photos
Information	23-11-2021 14:03:16	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	23-11-2021 14:03:16	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	23-11-2021 14:03:12	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	23-11-2021 14:02:16	Microsoft-Windows-Ntfs	98	None	Volume Windows (\Device\HarddiskVolumeShadowCopy3) is healthy.  No action is needed.
Information	23-11-2021 13:59:38	Microsoft-Windows-Time-Service	37	None	The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123).
Information	23-11-2021 13:59:38	Microsoft-Windows-Time-Service	158	None	The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information	23-11-2021 13:48:30	cdrom	133	None	Device \Device\CdRom0 is locked for exclusive access.
Information	23-11-2021 13:47:29	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Ramesh Lal\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages.
Information	23-11-2021 13:47:28	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Ramesh Lal\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\SystemAppData\Helium\User.dat was cleared updating 3 keys and creating 1 modified pages.
Information	23-11-2021 13:37:16	Service Control Manager	7045	None	"A service was installed in the system.

Service Name:  WinISO Virtual CD Drive
Service File Name:  system32\drivers\WinisoCDBus.sys
Service Type:  kernel mode driver
Service Start Type:  auto start
Service Account:  "
Information	23-11-2021 13:36:16	Service Control Manager	7040	None	The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning	23-11-2021 13:22:54	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name iubenda.mgr.consensu.org timed out after none of the configured DNS servers responded. Client PID 18348.
Warning	23-11-2021 13:18:04	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\Ramesh Lal SID (S-1-5-21-38077573-387163758-1783380300-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning	23-11-2021 13:18:04	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\Ramesh Lal SID (S-1-5-21-38077573-387163758-1783380300-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	23-11-2021 13:14:25	Service Control Manager	7040	None	The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning	23-11-2021 13:12:53	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-7EVMU4TQ\Ramesh Lal SID (S-1-5-21-38077573-387163758-1783380300-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	23-11-2021 13:10:47	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Information	23-11-2021 13:10:36	Microsoft-Windows-Kernel-Power	105	(100)	Power source change.
Error	23-11-2021 13:10:34	Microsoft-Windows-Ntfs	98	None	"Volume G: (\Device\HarddiskVolume7) needs to be taken offline to perform a Full Chkdsk.  Please run ""CHKDSK /F"" locally via the command line, or run ""REPAIR-VOLUME <drive:>"" locally or remotely via PowerShell."
Information	23-11-2021 13:10:10	Microsoft-Windows-Power-Troubleshooter	1	None	"The system has returned from a low power state.

Sleep Time: ‎2021‎-‎11‎-‎23T07:09:46.181195100Z
Wake Time: ‎2021‎-‎11‎-‎23T07:40:05.268205600Z

Wake Source: Power Button"
Error	23-11-2021 13:10:08	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{9F961AE3-9423-4C8B-AB48-B1886999008B} because another computer on the network has the same name.  The server could not start.
Error	23-11-2021 13:10:06	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{59426481-F96A-490F-9157-08A6F626BD36} because another computer on the network has the same name.  The server could not start.
Information	23-11-2021 13:10:05	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 217 to 219.

Reason: 15"
Information	23-11-2021 13:10:05	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 216 to 217.

Reason: 15"
Information	23-11-2021 13:10:02	Microsoft-Windows-Kernel-Power	130	(33)	Firmware S3 times. SuspendStart: 115278974, SuspendEnd: 115278975
Information	23-11-2021 13:10:02	Microsoft-Windows-Kernel-Power	131	(33)	Firmware S3 times. ResumeCount: 3, FullResume: 1035, AverageResume: 1035
Information	23-11-2021 13:10:02	Microsoft-Windows-Kernel-General	1	(5)	"The system time has changed to ‎2021‎-‎11‎-‎23T07:40:02.500000000Z from ‎2021‎-‎11‎-‎23T07:09:59.868831400Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2021‎-‎11‎-‎23T13:10:02.500000000Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information	23-11-2021 12:39:59	Microsoft-Windows-Kernel-Power	107	(102)	The system has resumed from sleep.
Information	23-11-2021 12:39:55	Microsoft-Windows-Kernel-Power	42	(64)	"The system is entering sleep.

Sleep Reason: System Idle"
Information	23-11-2021 12:39:48	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 214 to 216.

Reason: 15"
Information	23-11-2021 12:39:22	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 213 to 214.

Reason: 15"
Error	23-11-2021 12:15:15	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{9F961AE3-9423-4C8B-AB48-B1886999008B} because another computer on the network has the same name.  The server could not start.
Error	23-11-2021 12:14:06	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{9F961AE3-9423-4C8B-AB48-B1886999008B} because another computer on the network has the same name.  The server could not start.
Information	23-11-2021 12:13:46	Microsoft-Windows-Power-Troubleshooter	1	None	"The system has returned from a low power state.

Sleep Time: ‎2021‎-‎11‎-‎23T06:17:43.079438700Z
Wake Time: ‎2021‎-‎11‎-‎23T06:43:42.458054300Z

Wake Source: Power Button"
Information	23-11-2021 12:13:42	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 211 to 213.

Reason: 15"
Information	23-11-2021 12:13:39	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 210 to 211.

Reason: 15"
Error	23-11-2021 12:13:41	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{59426481-F96A-490F-9157-08A6F626BD36} because another computer on the network has the same name.  The server could not start.
